Período,Agropecuária,Indústria_extr_mineral,Industria_transformação,Indústria_energia_saneamento,Indústria_construção_civil,Indústria_total,Serviços_comércio,Serviços_transporte,Serviços_outros,Serviços_adm_pública,Serviços_total,VA,Impostos,PIB
2002.I,98.9360099523832,101.333702761399,98.5746209714577,93.939221358918,99.3477737035282,98.7598824765417,98.5199742229199,101.11631353652,98.8498261515664,99.5269606077906,98.7261587383616,98.096434630526,96.9107043504251,98.4812621720712
2002.II,98.9686197473486,95.2910976337697,99.2819767017761,97.0667797500363,100.444385231794,98.5232624562621,100.027436154635,98.4709573222178,99.7047544722829,99.7753119091225,99.6328106485042,99.6999849517612,100.15589441222,99.3879806393706
2002.III,103.071489760752,99.6179984252555,100.058894012902,105.51313408726,100.01818696804,100.506938829643,101.472669196731,100.273170506893,100.650403862699,100.074668941382,100.74735263414,100.996101862197,100.459153883159,100.602548432715
2002.IV,98.9038290175606,103.56772040158,102.011047046595,103.609027100412,100.10499264367,102.196559812265,99.8503285331263,99.3546094072727,100.972724195934,100.502276091171,100.875762732787,101.101393122078,102.337063946366,101.442542661093
2003.I,104.351085537342,107.697939651211,103.024564115463,106.969341734169,99.6253297644639,103.51264897613,100.442694563983,97.3328473640483,101.183182841182,100.208813047805,100.25392627335,101.329935351584,102.855879299251,101.45611670334
2003.II,94.1877138575072,112.314907872146,101.578773397367,112.147677660983,96.8632879680186,103.370803179501,101.081840904043,97.7360621876252,101.634073453283,101.143593551617,100.99867875515,101.070998341632,101.746611192564,101.43380057947
2003.III,92.3987447223585,106.360195810102,100.869075356455,119.88692037376,94.9103329564857,103.157965419392,101.133505749357,98.441402283703,102.343277428578,101.874003325323,101.966486260781,101.696075669858,101.500168955243,101.382808949463
2003.IV,100.984346425995,119.25116182586,103.650412146623,118.274597755939,96.1557539784207,105.997278290275,105.663925553419,103.375870370891,103.277833578907,102.861729843962,103.833807451208,104.243753173886,103.584382715802,104.292924007152
2004.I,114.547771818291,119.256469368555,103.495294753283,114.440420591887,100.098048931918,105.953616654993,109.922145509426,106.662223903811,104.004506942149,106.987800573085,106.265103148555,106.284779131461,104.793830788431,106.167606691818
2004.II,111.934901181562,120.492777869434,106.055134968409,121.938631949093,102.441147612706,108.938613982198,111.780927492534,107.455331480526,105.638108260814,104.636381135642,106.217662156332,107.936660038291,106.457258914279,107.765310990732
2004.III,105.070187990151,126.027980601358,109.944712294518,116.708923418181,104.945128306674,111.364626354486,114.993899644859,109.653290815361,106.732287233447,105.573033237814,108.082383980742,108.812142222291,109.762396721189,108.751039075808
2004.IV,107.14714623095,129.411084847322,109.789920079392,118.981691098278,103.68335506877,111.592544150713,115.370295304408,110.137353175568,107.718906220945,106.260170089945,108.930094270314,109.565052245567,110.375106998458,109.780723570944
2005.I,103.876949538377,130.42026381334,110.317373308291,121.985900172897,103.903813057454,112.980215944352,115.230341647545,111.353774036125,111.492602679272,106.481974202097,110.348952217691,109.736885084881,110.804999474459,110.401643861229
2005.II,115.835749810031,133.765365835479,111.755592803488,122.170849818062,104.432001978305,113.65221206687,117.633632132754,111.805632406439,112.013903585017,106.624536506548,111.524238156828,113.560661772841,115.16943433991,113.299568658237
2005.III,110.638195716488,137.247334201892,113.173216664225,119.617100465251,104.216676327455,114.770698167781,117.518187646844,110.784533075192,112.615037302433,106.81334533137,111.94935585251,112.861786639919,114.224344613817,112.981594580414
2005.IV,104.630058823509,138.38894992735,113.358352195521,124.046249972769,105.927553362329,115.50652231084,118.945517781063,111.016784372095,113.653803039878,107.448717827472,112.610757564767,113.041591631076,112.87758015405,113.051567976033
2006.I,110.133521597415,146.184069890705,113.227845489244,123.956975565864,105.765695301329,115.998427333126,121.97909705833,113.59232093075,114.698524406522,108.748067534201,114.327524864827,114.30779829969,118.072949303979,114.570655194848
2006.II,117.012848651325,150.796594746617,113.107950321726,123.258394899567,104.958039583567,116.767134703645,122.497689532737,116.163020858712,115.596197074555,109.518337467179,115.002768718673,115.607415196852,119.446724191905,116.364594199842
2006.III,122.453316961,149.406495798501,112.673622736118,124.165316460804,105.628722895375,116.226331170922,124.537565372419,117.04228565169,117.066251289033,110.395693558158,116.293865898906,117.055201476305,120.846569455929,117.61253552196
2006.IV,120.378659728003,151.562327072011,115.208548984142,122.75152341842,105.798860716747,117.368187470287,128.300177473801,118.343114185881,118.685362528627,111.359988075367,118.193528330151,118.206575858678,122.253353584822,118.842294966661
2007.I,107.397992792539,158.434538467416,119.390121908767,128.162575010906,124.665820576595,124.273029044231,129.200909418915,118.052333067178,120.418255105982,112.028180212627,119.444921634814,119.799190694891,126.303156828565,120.741442968369
2007.II,105.418253604101,167.599390783004,122.337974835952,126.75660566619,126.430768093361,126.676746671978,131.553522904637,118.698754899094,121.954960935358,112.248101600965,120.724941987599,121.401753533257,128.335612823719,122.174904385851
2007.III,111.730913058393,168.816610880615,123.35803423635,128.669969923023,126.429180342811,127.650956074638,133.156592309456,120.462944856688,123.145980386235,112.860536369189,121.68501430365,123.121919700745,130.529647646819,124.121709993716
2007.IV,116.230690071238,180.332481487182,124.487223827379,132.499787738103,126.234491047992,129.433339466535,137.150812756904,124.162375684376,124.113923997595,112.53678835061,123.542461983791,124.820729865128,133.177369780055,126.123424201214
2008.I,124.777362225714,180.629788060931,126.968172463699,129.218876804109,121.919360088037,130.076120919606,137.782068093563,127.806112473116,126.683540795765,113.075832711764,125.339655834784,126.327928278605,135.669962384103,127.983360076814
2008.II,133.339682469919,174.399328041428,129.479604431394,131.961312750212,121.892594338204,131.514622620831,138.987641723556,128.935673347425,129.292522106683,114.5453776161,127.267286772009,129.49492250404,139.173130043743,130.242002466336
2008.III,135.550125894428,185.639185715999,132.475363215466,137.501044444372,125.963582306909,135.664623183019,142.137438177134,127.622824489077,130.488374800229,114.862537611813,128.436752540148,131.401442472914,142.067629715172,132.733615103181
2008.IV,121.498107380458,137.476914924704,111.729620986765,132.895462116768,122.580990588629,119.012887177071,132.33353440356,119.84878252118,131.223546657454,115.203618636049,126.063972474442,123.477878511086,133.31631592763,125.037274312289
2009.I,125.283636899151,104.39611010439,94.4349810096988,132.515795660555,128.623210940884,104.493234937376,128.351736493428,113.228280588336,130.086171936647,117.923099718963,124.397563194014,117.910357616418,122.776599214281,118.414681403398
2009.II,118.050895411903,127.376199877584,99.5387676165646,134.249098359507,131.672310110934,111.382274614686,132.700758029434,113.949148063709,130.465664603986,118.529918504276,126.275207676236,120.815476627663,127.35203063757,121.785332835815
2009.III,118.133159192924,134.860866698807,108.122481995401,128.675974659504,136.37527467024,116.866469762132,137.357325776643,118.271242912788,131.771566540193,119.393934428005,128.931783620094,124.654115260912,132.754476908723,125.562952308661
2009.IV,133.295751472473,138.056285009171,116.384275003488,130.95853292127,140.576682310397,122.72388147841,141.168179288085,123.651425215671,133.247674775542,120.60900717127,131.088691240995,128.43603839207,139.129817308338,130.113797170909
2010.I,137.119325162561,167.949492753925,117.92561687364,134.883045046716,144.697192988195,126.690793464863,148.021551691121,130.794202663916,135.091329982182,121.513454805759,133.236566627751,131.460723876792,141.529179162847,133.080570788918
2010.II,131.782648944927,177.472013441283,122.483724547028,131.8534422725,147.978280240299,130.796461924021,148.068010807069,133.428646478986,136.407636013581,122.018012441499,134.460723607778,132.897247150068,146.373049158817,134.365556927225
2010.III,134.782226810393,180.651728772163,121.590736294254,136.183510294727,149.592223952141,130.991023600616,151.446256692437,133.425427893902,137.920502688548,122.473734069379,135.933895830171,134.233415545471,152.335850880015,136.403749329511
2010.IV,143.55874046455,176.478664992722,119.949311084757,136.250865932201,152.147395230387,129.839697525139,153.384947602405,134.406578739257,139.637434522022,123.146329473114,137.187762471162,135.468354986484,147.888664063468,137.208102736487
2011.I,136.680017283809,182.309412552329,122.083395170523,135.378900943446,153.82847946095,131.237047702825,156.522799547382,134.844226986059,137.45872170801,124.147942130285,137.378653718009,136.328858134709,151.228576606425,137.727158571818
2011.II,135.091602190574,180.785337227526,123.520012191567,145.699779796494,157.336547049077,135.694050385509,158.191910444404,139.15138094425,138.56246797325,124.501320274021,138.506102389247,136.575022831022,152.494173573309,139.227759985044
2011.III,131.760734335638,175.718736815102,121.593559953126,143.007658792805,159.242906933905,133.14515659781,155.950567170383,140.880370265989,140.35202322143,124.862272980519,139.042725977443,136.436698618534,153.076101912939,138.535194334631
2011.IV,132.564568581922,177.636368626274,119.01024399139,140.637017126618,161.388695310046,131.765458882071,156.677615356166,141.296594342135,142.215217641518,125.260303514943,139.03055050569,137.13871557188,153.537317164237,139.189564442548
2012.I,135.396543038421,176.394453880246,117.564309270221,146.128151704424,162.061874889975,131.106076265395,154.782125532613,138.701934526129,144.781331548578,125.757800702177,141.88392652416,138.312069342738,157.448869380346,140.51594318589
2012.II,163.787676744318,176.130311487915,117.669024127465,145.533797742896,163.129478957518,132.100561973624,156.069492426574,137.28933610822,147.69014895468,126.312180549919,142.771196813722,141.386881192248,161.091364345966,144.190267711231
2012.III,167.932905126231,176.505045570064,120.134893620228,141.27259275993,165.372076729329,133.403391024945,158.000751275717,137.868828045322,149.080422983272,125.839592691342,143.075593460233,142.670955541326,161.870288726667,145.189152858989
2012.IV,140.758749968277,184.515289884466,121.834729686537,137.153025128106,165.285593070022,135.019646882269,158.381585328673,138.533856793272,149.76206945357,125.456994838114,143.697558450117,140.7797600412,160.508139071311,143.070164801049
2013.I,144.496243512676,169.380333120176,116.652735746151,120.086324164746,168.410004141362,128.418233004568,154.503818582445,137.015875392005,150.081751418668,127.652581193679,143.136747706794,139.086558224996,158.47171459881,141.711162988174
2013.II,157.615304244169,165.666340719076,122.173201753667,121.069769332209,171.28017046939,131.226100430277,157.114994067883,139.334732120799,150.273842114747,127.907508751096,144.690018129772,141.264311946359,161.779765759861,143.781533840011
2013.III,161.838204518184,168.190091144869,119.5579031857,130.262411921081,172.123480252181,132.177200593723,157.744492392747,141.855803458708,150.795054590578,128.872791804933,145.688362364858,142.320186048174,162.660770230139,144.904394346805
2013.IV,166.607359984512,171.502103488014,117.755337179373,132.489659655027,169.159746017739,131.417080512792,157.780590967627,142.304424036767,151.259082783316,128.691304648393,146.026825994348,142.824699938432,164.593778253864,145.383841436956
2014.I,158.47211367741,182.752513071146,116.678692260591,126.430900364806,171.739510594446,131.555080831411,161.98860801421,145.734840186707,151.940212126225,127.938334674481,146.430972737803,143.787462649607,165.91536392286,145.868232498366
2014.II,140.369429994899,171.867836951803,113.070798791791,117.534660304231,168.366920702781,127.502074792544,158.865711064106,142.081799922174,151.114488264635,128.245782337906,145.438317860673,138.239427004034,160.53778125098,141.79522684002
2014.III,141.09518444299,167.812102281461,111.832298800857,110.173974822888,162.05391261048,125.041414083417,159.229040232207,140.807407226899,150.653255579159,127.934706491994,145.52841713899,138.466629971844,160.599064027938,141.167704003652
2014.IV,176.398615053596,164.053956571787,110.864984058725,111.300600615229,163.551096006026,123.957200448364,160.149898674321,139.005939018426,150.691092261911,127.703444882329,145.63245233239,140.793418261616,162.409440714259,143.384041740879
2015.I,135.181785320195,188.343042206615,110.146494926097,113.535418305208,156.122847612339,125.459304200587,157.981683853128,135.681446786456,148.409512918333,126.824777340012,143.001869977196,137.730814857968,157.381746718738,140.266141728445
2015.II,141.047184321149,183.575772684521,104.350430346946,107.261657901933,149.482508227832,120.013685724875,152.511993376507,133.863250597679,147.010443053136,126.465591059792,141.376170168324,134.238275392571,152.313527697646,136.676270930445
2015.III,150.276415425433,179.843468522762,99.9128242657553,103.288569713729,145.327966755876,116.750557778562,149.497990484489,130.886985838011,145.914579553107,126.517927596865,140.322873593851,133.554083916367,151.137073327208,135.670052942063
2015.IV,160.288376252659,163.793384513082,99.8389686658484,109.352996676352,141.744725727649,114.039150467217,148.219965643655,129.873078081252,144.665662976471,126.837509102516,139.787139182204,133.046648861393,149.415476829037,135.102833245458
2016.I,156.208192712741,149.285433302721,98.7411935959395,117.21219155255,139.067550520057,112.74759948115,151.572955329238,129.865415582477,143.987934962889,127.375524921693,139.979975128409,132.46932450931,149.45816036574,134.909518383725
2016.II,156.182138585432,142.586294300455,100.899512125672,124.394182168107,133.282247439216,112.520216010956,150.635407812875,129.133982413547,144.511460284464,127.365101169636,140.050973026647,132.262429040109,149.49996672164,134.420142399353
2016.III,156.823520145358,142.848664221196,100.586494765945,127.745183547586,127.977705963452,112.462350426101,149.818921548573,126.826062481298,143.394244603114,127.206668673109,139.307162555172,131.926097095018,148.487980362614,133.938904572449
2016.IV,152.146461482008,150.831786613878,96.9865644390181,130.29075537846,123.989816215736,110.969684068598,149.994403023104,126.204416097451,142.853785717251,126.906679720382,138.434335290193,131.316623474983,147.450877182041,133.28151077944
2017.I,164.911501925633,182.098713511571,99.4094199002004,128.716445141356,121.931995539317,113.038793741126,153.93082819097,128.224755565838,144.495932594152,126.872769363925,140.303023856223,133.19236834757,149.476782554007,134.725324814288
2017.II,162.511689933718,164.904395968829,100.508530583836,125.694357069923,121.318731825417,113.329612268162,158.710943853353,128.076558293476,145.896612329694,127.46815789801,141.887553323044,134.194573407426,152.076150369679,137.29801684632
2017.III,148.656477576565,153.465239448398,102.743387023341,126.19707967063,117.178680756882,112.688293553388,160.622585767384,127.423965508731,147.393359481767,127.513280330096,142.641859537139,133.978309705287,153.181514491835,136.253359343271
2017.IV,154.637817152337,150.113792743195,102.762847555166,119.196565422703,118.900738926349,111.845905520895,162.835204728209,126.550923814725,149.004176100636,127.580521209751,143.561633943127,134.599111594447,155.12816430015,137.107666923835
2018.I,161.549454672572,156.947999858819,101.825946149643,118.942706145452,119.01615186026,110.914894400622,163.89053852139,124.465916441381,148.657611511262,127.14243304553,144.040980732754,134.648857303329,154.457012530011,137.513331190953
2018.II,173.677682711353,153.000852509022,101.484537086851,121.690608173493,118.261323528986,111.351060001014,162.091689916092,123.918704997657,148.206797727512,126.844596857185,143.794711152376,135.585086294875,154.210232523758,137.720330217402
2018.III,181.60047834252,147.303426656952,101.385227249758,124.042234351765,118.016424599908,110.976540650428,163.773776065643,125.713585203513,148.651263573449,126.841160170341,144.04801157173,136.073383061897,158.320371810886,138.755963417937
2018.IV,172.510837511461,147.759552924268,103.126694581382,117.419962996277,118.578198950428,111.169300756365,164.072610321882,123.460912936605,147.785504050461,126.517325739997,143.84446564561,135.440735799898,153.418805600986,137.71292067517
2019.I,169.399791096059,139.525646379184,102.681963157291,130.623942930474,120.211692458853,109.875283102743,164.439541953839,123.942685359956,148.179589280274,128.090641963645,144.22021261488,135.611647121779,156.563138742223,137.810385375452
2019.II,183.602187059899,99.4931618836773,103.324704488716,130.079228218459,122.900262587918,108.312016222655,166.51753507001,121.084067241432,148.447628381009,127.030346607347,144.457002493137,134.887016726858,156.416656236733,138.037470896663
2019.III,156.895681891985,107.243686216475,101.739990324611,133.320696705406,123.870207282245,108.23897889537,168.883263951495,120.798800574847,149.43420088139,125.206046775381,144.824453830049,133.99141473857,155.443346745026,136.60097347176
2019.IV,173.015021730623,105.215973502938,100.120769378689,135.663995003049,121.991367868823,106.443972236712,168.457752151398,120.709911993671,151.642901567837,126.804781082242,145.410537165267,135.20517117482,155.274218855391,137.842938324159
